,Rank,Name,Revenue($m),Profit($m),Assets($m),Market_Value($m),Employees,URL
307,308,Interpublic Group,10221.3,656,17751.9,6278.9,54300,http://www.interpublic.com
308,309,PulteGroup,10213,1016.7,10715.6,6014.8,5245,http://www.pultegroupinc.com
309,310,AES,10189,303,33648,9040.8,8000,#N/A
310,311,Fiserv,10187,893,77539,64507.6,44000,http://www.fiserv.com
311,312,BorgWarner,10168,746,9702,5037.4,29000,#N/A
312,313,Oneok,10164.4,1278.6,21812.1,9014.5,2882,http://www.oneok.com
313,314,O'Reilly Automotive,10150,1391,10717.2,22353.4,67663,http://www.oreillyauto.com
314,315,Assurant,10086.8,382.6,44291.2,6217.9,13900,#N/A
315,316,Newell Brands,10083.1,106.6,15642,5949.1,30000,http://www.newyorklife.com
316,317,Public Service Enterprise Group,10076,1693,47730,22685.3,12992,http://www.pseg.com
317,318,News Corp.,10074,155,15711,5279.7,28000,http://www.newscorp.com
318,319,Calpine,10072,770,16649,-,2256,#N/A
319,320,Auto-Owners Insurance,10007.4,1352.4,27134.8,-,6141,#N/A
320,321,Mohawk Industries,9970.7,744.2,13386.7,5464.3,41800,http://www.mohawkind.com
322,322,Campbell Soup,9909,211,13148,13928.5,19000,#N/A
321,322,PVH,9909,417.3,13631,2746.2,30750,http://www.pvh.com
323,324,NRG Energy,9871,4438,12531,6829.8,4577,http://www.nrgenergy.com
324,325,Fifth Third Bancorp,9790,2512,169369,10560.3,19869,http://www.53.com
325,326,Hertz Global Holdings,9779,-58,24627,878,38000,http://www.thehersheycompany.com
326,327,Altice USA,9760.9,138.9,34108.1,14109.5,10700,#N/A
327,328,Newmont,9740,2805,39974,36576.6,16600,http://www.newmarket.com
328,329,Cheniere Energy,9730,648,35492,8511.8,1530,#N/A
329,330,Advance Auto Parts,9709,486.9,11248.5,6461.3,53000,#N/A
330,331,Lam Research,9653.6,2191.4,12001.3,34931.6,10700,http://www.lamresearch.com
331,332,Owens & Minor,9650,-62.4,3643.1,576.9,15400,http://www.owens-minor.com
332,333,Equitable Holdings,9591,-1733,249870,6706.9,10100,#N/A
333,334,Conagra Brands,9538.4,678.3,22213.8,14290.8,18000,#N/A
334,335,Markel,9526.2,1790.5,37473.8,12787.1,18600,http://www.markelcorp.com
335,336,Jones Financial (Edward Jones),9526,1092,19317,-,49000,http://www.edwardjones.com
336,337,Hormel Foods,9497.3,978.8,8109,25081.9,18800,http://www.hormelfoods.com
337,338,Hilton Worldwide Holdings,9452,881,14957,18933,173000,http://www.hiltonworldwide.com
338,339,Univar Solutions,9443.8,-100.2,6494.8,1810.4,10300,http://www.unitedhealthgroup.com
339,340,United Rentals,9351,1174,18970,7622.6,19100,http://www.unitedrentals.com
340,341,Pioneer Natural Resources,9304,756,19067,11624.9,2323,http://www.pxd.com
341,342,Delek US Holdings,9298.2,310.6,7016.3,1190.1,3707,#N/A
342,343,Eastman Chemical,9273,759,16008,6330,14500,#N/A
343,344,EMCOR Group,9174.6,325.1,4830.4,3449.8,36000,#N/A
344,345,Avis Budget Group,9172,302,23126,966.6,25600,#N/A
345,346,J.B. Hunt Transport Services,9165.3,516.3,5470.9,9800.3,29056,http://www.jbhunt.com
346,347,Xerox Holdings,9145,1353,15047,4030.2,27000,http://www.xerox.com
347,348,Wayfair,9127.1,-984.6,2953,5042.7,16985,http://www.watsco.com
348,349,KKR,9120.3,2005,60899.3,19912.6,1384,http://www.kkr.com
349,350,AGCO,9041.4,125.2,7759.7,3546.3,20961,#N/A
350,351,Alleghany,9040.7,857.8,26931.6,7923.5,10786,#N/A
351,352,Icahn Enterprises,8992,-1098,24639,10365.7,28033,http://www.ielp.com
352,353,Voya Financial,8942,-351,169051,5366.2,6000,http://www.voya.com
353,354,Ryder System,8925.8,-24.4,14475.3,1380.7,39900,http://www.ryder.com
354,355,Air Products & Chemicals,8918.9,1760,18942.8,44049.6,17570,#N/A
355,356,Mosaic,8906.3,-1067.4,19298.5,4098.2,12600,http://www.mosaicco.com
356,357,Huntington Ingalls Industries,8899,549,7031,7420.3,42000,http://www.huntingtoningalls.com
357,358,Berry Global Group,8878,404,16469,4463,48000,#N/A
358,359,Anixter International,8845.6,262.9,4808.9,2972.7,9400,#N/A
359,360,Alaska Air Group,8781,769,12993,3490,24134,#N/A
360,361,Yum China Holdings,8776,713,6950,16033.2,450000,http://www.yum.com
361,362,Dick's Sporting Goods,8750.7,297.5,6628.6,1848.3,28450,#N/A
362,363,Caesars Entertainment,8742,-1195,25345,4612.1,64000,#N/A
