,Rank,Name,Revenue($m),Profit($m),Assets($m),Market_Value($m),Employees,URL
871,872,Cboe Global Markets,2496.1,374.9,5113.9,9856.3,823,#N/A
872,873,IDEX,2494.6,425.5,3813.9,10529.4,7439,#N/A
873,874,Belden,2491.8,-377,3406.8,1640.2,7000,#N/A
874,875,Curtiss-Wright,2488,307.6,3764.3,3929.4,9100,#N/A
875,876,Cheesecake Factory,2482.7,127.3,2840.6,767.9,46250,#N/A
876,877,Genesis Energy,2480.8,96,6597.6,480.5,2177,#N/A
877,878,GEO Group,2477.9,166.6,4317.5,1474.3,22000,#N/A
878,879,Patterson-UTI Energy,2470.7,-425.7,4439.6,451.6,5800,#N/A
879,880,Werner Enterprises,2463.7,166.9,2143.9,2514.7,12736,http://www.werner.com
880,881,Ingersoll Rand,2451.9,159.1,4628.4,10306.3,6600,#N/A
881,882,Verso,2444,96,1721,396.9,3700,http://www.verizon.com
882,883,Mueller Industries,2430.6,101,1370.9,1364.5,4964,#N/A
883,884,Nu Skin Enterprises,2420.4,173.6,1769,1213.7,24900,#N/A
884,885,Revlon,2419.6,-157.7,2980.6,580.1,7100,#N/A
885,886,Arista Networks,2410.7,859.9,4185.3,15490.9,2300,#N/A
886,887,IDEXX Laboratories,2406.9,427.7,1832.5,20644.9,9200,#N/A
887,888,Align Technology,2406.8,442.8,2500.7,13699.1,14530,#N/A
888,889,Waters,2406.6,592.2,2557.1,11315.9,7467,http://www.wm.com
889,890,Synovus Financial,2406.5,563.8,48203.3,2585.8,5389,#N/A
890,891,BrightView Holdings,2404.6,44.4,2928.6,1159.6,21978,#N/A
891,892,REV Group,2403.7,-12.3,1347.1,263.8,8040,#N/A
892,893,Brown & Brown,2392.2,398.5,7622.8,10269.3,10083,#N/A
893,894,Valvoline,2390,208,2064,2466.8,7900,http://www.valsparglobal.com
894,895,Knights of Columbus,2387.8,148.3,26860.6,-,772,#N/A
895,896,Central Garden & Pet,2383,92.8,2025,1441.2,5550,#N/A
896,897,Carpenter Technology,2380.2,167,3187.8,932.1,5100,#N/A
897,898,SLM,2380,578.3,32686.5,3038.6,1900,#N/A
898,899,Kennametal,2375.2,241.9,2656.3,1543.6,10395,#N/A
899,900,LCI Industries,2371.5,146.5,1862.6,1673.9,10500,#N/A
900,901,TrueBlue,2368.8,63.1,1136.2,492.9,6200,#N/A
901,902,Cimarex Energy,2363,-124.6,7140,1718.9,987,#N/A
902,903,Splunk,2358.9,-336.7,5439.5,20022.6,5800,#N/A
903,904,SiteOne Landscape Supply,2357.5,77.7,1443.3,3076.5,4416,#N/A
904,905,Hexcel,2355.7,306.6,3128.6,3099.6,6977,#N/A
905,906,FTI Consulting,2352.7,216.7,2783.1,4490.6,5567,#N/A
906,907,Party City Holdco,2348.8,-532.5,3595.3,43.3,14350,#N/A
907,908,Ohio National Mutual,2340.5,-67.6,40366.8,-,1109,#N/A
908,909,Patrick Industries,2337.1,89.6,1471,672.5,7500,#N/A
909,910,Cadence Design Systems,2336.3,989,3357.2,18546.2,8078,#N/A
910,911,CDK Global,2332.9,124,2999,3991,9000,#N/A
911,912,AvalonBay Communities,2324.6,786,19121.1,20711.9,3122,#N/A
912,913,Wabash National,2319.1,89.6,1304.6,381.6,6900,http://www.grainger.com
913,914,Service Properties Trust,2316.1,259.8,9034,888.6,600,#N/A
914,915,Maxim Integrated Products,2314.3,827.5,3744,13095.3,7131,#N/A
915,916,People's United Financial,2312.2,520.4,58589.8,4792.8,6305,#N/A
916,917,Bio-Rad Laboratories,2311.7,1758.7,8008.9,10490.6,8120,#N/A
917,918,Option Care Health,2310.4,-75.9,2589.5,1673.4,5492,#N/A
918,919,Louisiana-Pacific,2310,-5,1835,1924.5,4800,#N/A
919,920,TEGNA,2299.5,286.2,6954,2371.3,6883,#N/A
920,921,Teradyne,2295,467.5,2787,9025.5,5400,#N/A
921,922,Arch Resources,2294.4,233.8,1867.8,437.6,3700,#N/A
922,923,EPAM Systems,2293.8,261.1,2244.2,10259.4,36739,#N/A
923,924,WPX Energy,2292,256,8413,1706.1,590,http://www.wpxenergy.com
924,925,Contura Energy,2290.5,-316.3,2302.8,42.9,4360,#N/A
925,926,Ensign Group,2285.6,110.5,2361.9,2013.3,24500,#N/A
926,927,First Horizon National,2278.4,440.9,43310.9,2513,4994,#N/A
927,928,Wolverine World Wide,2273.7,128.5,2480,1232.3,4000,http://www.wolverineworldwide.com
928,929,Vail Resorts,2271.6,301.2,4426.1,5947.7,23000,#N/A
929,930,Benchmark Electronics,2268.1,23.4,1759.9,727.9,10600,#N/A
930,931,HNI,2246.9,110.5,1452.5,1075.8,8450,#N/A
931,932,F5 Networks,2242.4,427.7,3390.3,6483.5,5325,#N/A
932,933,Affiliated Managers Group,2239.6,15.7,7653.5,2830.9,4000,#N/A
933,934,OGE Energy,2231.6,433.6,11024.3,6151.5,2425,#N/A
934,935,Universal,2227.2,104.1,2133.2,1090.7,28000,#N/A
935,936,BOK Financial,2226.3,500.8,42172,2996.1,5107,#N/A
936,937,ManTech International,2222.6,113.9,2107.9,2920.1,8900,#N/A
937,938,Summit Materials,2222.1,59.1,4067.6,1699.7,6000,#N/A
938,939,AMN Healthcare Services,2222.1,114,1931.6,2708.7,3236,#N/A
939,940,Groupon,2218.9,-22.4,1586.7,555.7,6345,#N/A
940,941,Newmark Group,2218.1,117.3,3201.6,754,5600,#N/A
941,942,Fossil Group,2217.7,-52.4,1604.7,166.4,10200,#N/A
942,943,Modine Manufacturing,2212.7,84.8,1538,165.1,12200,#N/A
943,944,Griffon,2209.3,37.3,2074.9,593.4,7300,#N/A
944,945,Cypress Semiconductor,2205.3,40.4,3556.1,8713.4,5871,#N/A
945,946,Generac Holdings,2204.3,252,2665.7,5829.4,5551,#N/A
946,947,Matson,2203.1,82.7,2845.4,1317.9,1988,#N/A
947,948,Genesco,2197.1,61.4,1680.5,196.1,13850,#N/A
948,949,Nordson,2194.2,337.1,3516.4,7814.9,7579,#N/A
949,950,NewMarket,2190.3,254.3,1885.1,4284.1,2118,#N/A
950,951,Echo Global Logistics,2185,14.8,826.7,457.9,2539,#N/A
951,952,Rexnord,2175.2,34.3,3259.7,2761.4,6700,#N/A
952,953,Incyte,2158.8,446.9,3426.8,15874.5,1456,#N/A
953,954,Fortinet,2156.2,326.5,3885.5,17453.3,7082,#N/A
954,955,Foundation Building Materials,2154.5,40.2,1411.8,444.5,3500,#N/A
955,956,AAR,2147.6,7.5,1517.2,623.4,5650,#N/A
956,957,Centric Brands,2146.5,-273.5,2154.7,66.1,3250,#N/A
957,958,Edgewell Personal Care,2141,-372.2,3420.9,1307.6,6000,#N/A
958,959,Federated Mutual Insurance,2134.5,229.6,8825.2,-,2638,#N/A
959,960,Schnitzer Steel Industries,2132.8,56.3,1160.7,353.9,3363,#N/A
960,961,Portland General Electric,2123,214,8394,4288.9,2949,#N/A
961,962,Gray Television,2122,179,6972,1071.6,7465,#N/A
962,963,BGC Partners,2104.2,55.7,3916.1,894.3,5200,#N/A
963,964,EchoStar,2098.3,-62.9,7154.3,3126.8,2300,#N/A
964,965,Beazer Homes USA,2087.8,-79.5,1957.6,202.1,1205,#N/A
965,966,LHC Group,2080.2,95.7,2140.3,4419.9,22785,#N/A
966,967,ServiceMaster Global Holdings,2077,128,5322,3657,12000,#N/A
967,968,Bruker,2072.6,197.2,2771.5,5529.7,7230,#N/A
968,969,Oasis Petroleum,2071.7,-128.2,7499.3,113.3,609,#N/A
969,970,CrossAmerica Partners,2071.4,18.1,905.3,298.4,548,#N/A
970,971,MYR Group,2071.2,37.7,1007.9,436.2,7100,#N/A
971,972,Viasat,2068.3,-67.6,3915.3,2231.7,5600,#N/A
972,973,GNC Holdings,2068.2,-35.1,1650.6,39.6,8400,#N/A
973,974,Cabot Oil & Gas,2066.3,681.1,4487.2,6851.5,547,#N/A
974,975,Bright Horizons Family Solutions,2062,180.4,3330.4,5936.4,33800,#N/A
975,976,Vista Outdoor,2058.5,-648.4,1738,509.3,5200,#N/A
976,977,HEICO,2055.6,327.9,2969.2,9184.7,5900,#N/A
977,978,Wyndham Hotels & Resorts,2053,157,4533,2933.8,14200,http://www.wpxenergy.com
978,979,TCF Financial,2052.8,295.5,46651.6,3451.2,7732,#N/A
979,980,Primerica,2052.5,366.4,13688.5,3637.2,2502,#N/A
980,981,ProPetro Holding,2052.3,163,1436.1,251.5,1579,#N/A
981,982,Oceaneering International,2048.1,-348.4,2740.7,291.8,9100,#N/A
982,983,Floor & Decor Holdings,2045.5,150.6,2324.3,3282.4,6336,#N/A
983,984,Copart,2042,591.7,2547.6,16013.5,7327,#N/A
984,985,Chico's FAS,2037.9,-12.8,1542.7,155.2,10944,#N/A
985,986,Barnes & Noble Education,2034.6,-24.4,946.2,65.7,12400,#N/A
986,987,Maxar Technologies,2033,109,5157,642.3,5800,#N/A
987,988,Evercore,2028.8,297.4,2598.6,1871.9,1900,#N/A
988,989,Deckers Outdoor,2020.4,264.3,1427.2,3750.3,3500,#N/A
989,990,Express,2019.2,-164.4,1790.7,95.2,9160,#N/A
990,991,Hovnanian Enterprises,2016.9,-42.1,1881.4,50.5,1868,#N/A
991,992,Air Lease,2016.9,587.1,21709.2,2515.9,117,#N/A
992,993,Rollins,2015.5,203.3,1744.4,11845.9,14952,#N/A
993,994,SBA Communications,2014.6,147,9759.9,30217.6,1475,#N/A
994,995,Deluxe,2008.7,-199.9,1943.3,1093.9,6352,#N/A
995,996,Mr. Cooper Group,2007,274,18305,674.1,9100,#N/A
996,997,Herc Holdings,1999,47.5,3817,590.5,5100,#N/A
997,998,Healthpeak Properties,1997.4,45.5,14032.9,12059.3,204,#N/A
998,999,SPX FLOW,1996.3,-95.1,2437.4,1211.8,5000,#N/A
999,"1,000",Liberty Oilfield Services,1990.3,39,1283.4,302.8,2571,#N/A
